Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
Ealing,E09000009,Upper tier local authority,2020-04-30,5,,,1068,,
Croydon,E09000008,Upper tier local authority,2020-04-30,2,,,1387,,
Camden,E09000007,Upper tier local authority,2020-04-30,6,,,580,,
Bromley,E09000006,Upper tier local authority,2020-04-30,13,,,1085,,
Brent,E09000005,Upper tier local authority,2020-04-30,4,,,1355,,
Bexley,E09000004,Upper tier local authority,2020-04-30,8,,,630,,
Barnet,E09000003,Upper tier local authority,2020-04-30,8,,,1212,,
Gateshead,E08000037,Upper tier local authority,2020-04-30,22,,,854,,
Wakefield,E08000036,Upper tier local authority,2020-04-30,14,,,541,,
Leeds,E08000035,Upper tier local authority,2020-04-30,19,,,1456,,
Kirklees,E08000034,Upper tier local authority,2020-04-30,2,,,571,,
Calderdale,E08000033,Upper tier local authority,2020-04-30,4,,,248,,
Bradford,E08000032,Upper tier local authority,2020-04-30,24,,,928,,
Wolverhampton,E08000031,Upper tier local authority,2020-04-30,8,,,856,,
Walsall,E08000030,Upper tier local authority,2020-04-30,4,,,990,,
Solihull,E08000029,Upper tier local authority,2020-04-30,5,,,577,,
Sandwell,E08000028,Upper tier local authority,2020-04-30,6,,,1026,,
Dudley,E08000027,Upper tier local authority,2020-04-30,18,,,784,,
Coventry,E08000026,Upper tier local authority,2020-04-30,5,,,673,,
Birmingham,E08000025,Upper tier local authority,2020-04-30,24,,,2904,,
Sunderland,E08000024,Upper tier local authority,2020-04-30,24,,,1186,,
South Tyneside,E08000023,Upper tier local authority,2020-04-30,25,,,586,,
North Tyneside,E08000022,Upper tier local authority,2020-04-30,16,,,484,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-30,35,,,935,,
Sheffield,E08000019,Upper tier local authority,2020-04-30,5,,,2177,,
Rotherham,E08000018,Upper tier local authority,2020-04-30,2,,,728,,
Barnsley,E08000016,Upper tier local authority,2020-04-30,3,,,671,,
Wirral,E08000015,Upper tier local authority,2020-04-30,7,,,1025,,
Sefton,E08000014,Upper tier local authority,2020-04-30,16,,,827,,
St. Helens,E08000013,Upper tier local authority,2020-04-30,8,,,660,,
Liverpool,E08000012,Upper tier local authority,2020-04-30,21,,,1449,,
